LLI,,LAMPE,,RDFNE,,LAMNE,
Exchange Capacity (Ah),Degradation mode (%),Exchange Capacity (Ah),Degradation mode (%),Exchange Capacity (Ah),Degradation mode (%),Exchange Capacity (Ah),Degradation mode (%)
0,0.032317636,0,0.032317636,1.444043321,1.131117267,0,-0.032317636
181.9494585,2.03601108,181.9494585,1.454293629,180.5054152,3.522622345,180.5054152,0.032317636
480.866426,3.522622345,480.866426,2.100646353,480.866426,5.2677747,480.866426,1.001846722
706.1371841,4.750692521,706.1371841,2.682363804,704.6931408,5.914127424,704.6931408,1.971375808
908.3032491,6.108033241,908.3032491,3.845798707,908.3032491,6.62511542,908.3032491,3.005540166
1101.805054,7.206832872,1101.805054,3.587257618,1101.805054,9.339796861,1101.805054,4.039704524
1301.083032,8.628808864,1301.083032,4.750692521,,,1301.083032,7.98245614
1341.516245,8.822714681,1341.516245,3.587257618,,,1341.516245,9.016620499
1393.501805,9.469067405,1393.501805,5.00923361,,,1393.501805,10.05078486
1436.823105,9.986149584,1436.823105,5.073868883,,,1436.823105,11.08494922
1475.812274,10.56786704,1475.812274,5.2677747,,,1477.256318,15.0923361
1549.458484,18.25946445,1549.458484,9.792243767,,,1548.01444,20.00461681
1581.227437,27.76084949,1579.783394,14.51061865,,,1579.783394,29.05355494
1591.33574,30.41089566,1591.33574,20.00461681,,,1591.33574,34.93536473
